hidden_dim,val_loss,test_acc,train_acc,val_acc
32,0.030460287052793085,0.844,0.9909629629629629,0.8432
64,0.006397771985607112,0.8564444444444445,0.9992098765432099,0.8516
128,0.008148908824345491,0.8515555555555555,0.9986913580246913,0.8566
256,0.002466634240602021,0.8506666666666667,0.9997283950617284,0.8656
512,0.004627404697313057,0.8566666666666667,0.9994814814814815,0.8502
1024,0.005104681323423448,0.8502222222222222,0.9992345679012345,0.8524
2048,0.0006261023992560639,0.8506666666666667,0.9999506172839506,0.8532
